NAME                                                              VALUE                                                      APPLIED   AGE
allow-collecting-longhorn-usage-metrics                           true                                                       true      3d8h
allow-empty-disk-selector-volume                                  true                                                       true      3d8h
allow-empty-node-selector-volume                                  true                                                       true      3d8h
allow-recurring-job-while-volume-detached                         false                                                      true      3d8h
allow-volume-creation-with-degraded-availability                  true                                                       true      3d8h
auto-cleanup-recurring-job-backup-snapshot                        true                                                       true      3d8h
auto-cleanup-system-generated-snapshot                            true                                                       true      3d8h
auto-cleanup-when-delete-backup                                   false                                                      true      3d8h
auto-delete-pod-when-volume-detached-unexpectedly                 true                                                       true      3d8h
auto-salvage                                                      true                                                       true      3d8h
backing-image-cleanup-wait-interval                               60                                                         true      3d8h
backing-image-recovery-wait-interval                              300                                                        true      3d8h
backup-compression-method                                         lz4                                                        true      3d8h
backup-concurrent-limit                                           2                                                          true      3d8h
backup-target                                                                                                                true      3d8h
backup-target-credential-secret                                                                                              true      3d8h
backupstore-poll-interval                                         300                                                        true      3d8h
concurrent-automatic-engine-upgrade-per-node-limit                0                                                          true      3d8h
concurrent-backing-image-replenish-per-node-limit                 5                                                          true      3d8h
concurrent-replica-rebuild-per-node-limit                         5                                                          true      3d8h
concurrent-volume-backup-restore-per-node-limit                   5                                                          true      3d8h
crd-api-version                                                   longhorn.io/v1beta2                                        true      3d8h
create-default-disk-labeled-nodes                                 false                                                      true      3d8h
current-longhorn-version                                          v1.7.0                                                     true      3d8h
default-backing-image-manager-image                               longhornio/backing-image-manager:v1.7.0                    true      3d8h
default-data-locality                                             disabled                                                   true      3d8h
default-data-path                                                 /var/lib/longhorn/                                         true      3d8h
default-engine-image                                              longhornio/longhorn-engine:v1.7.0                          true      3d8h
default-instance-manager-image                                    longhornio/longhorn-instance-manager:v1.7.0                true      3d8h
default-longhorn-static-storage-class                             longhorn-static                                            true      3d8h
default-min-number-of-backing-image-copies                        3                                                          true      3d8h
default-replica-count                                             3                                                          true      3d8h
deleting-confirmation-flag                                        false                                                      true      3d8h
detach-manually-attached-volumes-when-cordoned                    false                                                      true      3d8h
disable-revision-counter                                          true                                                       true      3d8h
disable-scheduling-on-cordoned-node                               true                                                       true      3d8h
disable-snapshot-purge                                            false                                                      true      3d8h
engine-replica-timeout                                            8                                                          true      3d8h
failed-backup-ttl                                                 1440                                                       true      3d8h
fast-replica-rebuild-enabled                                      true                                                       true      3d8h
freeze-filesystem-for-snapshot                                    false                                                      true      3d8h
guaranteed-instance-manager-cpu                                   12                                                         true      3d8h
kubernetes-cluster-autoscaler-enabled                             false                                                      true      3d8h
latest-longhorn-version                                           v1.11.0                                                    true      3d8h
log-level                                                         Info                                                       true      3d8h
long-grpc-timeout                                                 86400                                                      true      3d8h
node-down-pod-deletion-policy                                     do-nothing                                                 true      3d8h
node-drain-policy                                                 block-if-contains-last-replica                             true      3d8h
orphan-auto-deletion                                              false                                                      true      3d8h
priority-class                                                    longhorn-critical                                          true      3d8h
recurring-failed-jobs-history-limit                               1                                                          true      3d8h
recurring-job-max-retention                                       100                                                        true      3d8h
recurring-successful-jobs-history-limit                           1                                                          true      3d8h
registry-secret                                                                                                              true      3d8h
remove-snapshots-during-filesystem-trim                           false                                                      true      3d8h
replica-auto-balance                                              disabled                                                   true      3d8h
replica-auto-balance-disk-pressure-percentage                     90                                                         true      3d8h
replica-disk-soft-anti-affinity                                   true                                                       true      3d8h
replica-file-sync-http-client-timeout                             30                                                         true      3d8h
replica-replenishment-wait-interval                               600                                                        true      3d8h
replica-soft-anti-affinity                                        false                                                      true      3d8h
replica-zone-soft-anti-affinity                                   true                                                       true      3d8h
restore-concurrent-limit                                          2                                                          true      3d8h
restore-volume-recurring-jobs                                     false                                                      true      3d8h
rwx-volume-fast-failover                                          false                                                      true      3d8h
snapshot-data-integrity                                           fast-check                                                 true      3d8h
snapshot-data-integrity-cronjob                                   0 0 */7 * *                                                true      3d8h
snapshot-data-integrity-immediate-check-after-snapshot-creation   false                                                      true      3d8h
snapshot-max-count                                                250                                                        true      3d8h
stable-longhorn-versions                                          v1.10.2,v1.3.3,v1.4.4,v1.5.5,v1.6.4,v1.7.3,v1.8.2,v1.9.2   true      3d8h
storage-minimal-available-percentage                              25                                                         true      3d8h
storage-network                                                                                                              true      3d8h
storage-network-for-rwx-volume-enabled                            false                                                      true      3d8h
storage-over-provisioning-percentage                              100                                                        true      3d8h
storage-reserved-percentage-for-default-disk                      30                                                         true      3d8h
support-bundle-failed-history-limit                               1                                                          true      3d8h
support-bundle-manager-image                                      longhornio/support-bundle-kit:v0.0.41                      true      3d8h
support-bundle-node-collection-timeout                            30                                                         true      3d8h
system-managed-components-node-selector                                                                                      true      3d8h
system-managed-pods-image-pull-policy                             if-not-present                                             true      3d8h
taint-toleration                                                                                                             true      3d8h
upgrade-checker                                                   true                                                       true      3d8h
v1-data-engine                                                    true                                                       true      3d8h
v2-data-engine                                                    false                                                      true      3d8h
v2-data-engine-guaranteed-instance-manager-cpu                    1250                                                       true      3d8h
v2-data-engine-hugepage-limit                                     2048                                                       true      3d8h
v2-data-engine-log-flags                                                                                                     true      3d8h
v2-data-engine-log-level                                          Notice                                                     true      3d8h
